 A1: error de representacion por mes (2 cifras significativas) 
mes,precio_real,precio_aprox,error_absoluto,error_relativo_pct
Enero-2022,822.05,820.0,2.05,0.2494
Febrero-2022,807.07,810.0,2.93,0.363
Marzo-2022,799.19,800.0,0.81,0.1014
Abril-2022,815.12,820.0,4.88,0.5987
Mayo-2022,849.39,850.0,0.61,0.0718
Junio-2022,857.77,860.0,2.23,0.26
Julio-2022,953.71,950.0,3.71,0.389
Agosto-2022,904.35,900.0,4.35,0.481
Septiembre-2022,921.01,920.0,1.01,0.1097
Octubre-2022,955.89,960.0,4.11,0.43
Noviembre-2022,917.05,920.0,2.95,0.3217
Diciembre-2022,875.66,880.0,4.34,0.4956
Enero-2023,826.34,830.0,3.66,0.4429
Febrero-2023,798.26,800.0,1.74,0.218
Marzo-2023,809.5,810.0,0.5,0.0618
Abril-2023,803.84,800.0,3.84,0.4777
Mayo-2023,798.64,800.0,1.36,0.1703
Junio-2023,799.87,800.0,0.13,0.0163
Julio-2023,813.4,810.0,3.4,0.418
Agosto-2023,855.66,860.0,4.34,0.5072
Septiembre-2023,884.4,880.0,4.4,0.4975
Octubre-2023,926.35,930.0,3.65,0.394
Noviembre-2023,886.61,890.0,3.39,0.3824
Diciembre-2023,874.67,870.0,4.67,0.5339
Enero-2024,907.99,910.0,2.01,0.2214
Febrero-2024,963.44,960.0,3.44,0.3571
Marzo-2024,967.93,970.0,2.07,0.2139
Abril-2024,960.14,960.0,0.14,0.0146
Mayo-2024,917.88,920.0,2.12,0.231
Junio-2024,926.08,930.0,3.92,0.4233
Julio-2024,937.56,940.0,2.44,0.2603
Agosto-2024,929.9,930.0,0.1,0.0108
Septiembre-2024,926.21,930.0,3.79,0.4092
Octubre-2024,933.81,930.0,3.81,0.408
Noviembre-2024,971.6,970.0,1.6,0.1647
Diciembre-2024,982.3,980.0,2.3,0.2341
Enero-2025,1000.76,1000.0,0.76,0.0759
Febrero-2025,956.62,960.0,3.38,0.3533
Marzo-2025,932.55,930.0,2.55,0.2734
Abril-2025,961.96,960.0,1.96,0.2038
Mayo-2025,941.01,940.0,1.01,0.1073
Junio-2025,938.04,940.0,1.96,0.2089
Julio-2025,951.55,950.0,1.55,0.1629
Agosto-2025,966.3,970.0,3.7,0.3829
Septiembre-2025,960.37,960.0,0.37,0.0385
Octubre-2025,953.97,950.0,3.97,0.4162
Noviembre-2025,935.7,940.0,4.3,0.4595
Diciembre-2025,916.16,920.0,3.84,0.4191

 A2: compra-venta de ejemplo 
mes_compra,mes_venta,ganancia_clp,error_absoluto_clp,error_relativo_pct
Junio-2023,Enero-2025,250000.0,1152.44,0.46

" A5: comprar en el minimo, vender en cada mes posterior "
mes_venta,precio_venta_real,ganancia_clp,error_absoluto_clp,error_relativo_pct
Marzo-2023,809.5,12500.0,2832.37,0.28
Abril-2023,803.84,0.0,6956.81,0.7
Mayo-2023,798.64,0.0,3882.64,0.39
Junio-2023,799.87,0.0,2342.27,0.23
Julio-2023,813.4,12500.0,6439.22,0.64
Agosto-2023,855.66,75000.0,7795.74,0.73
Septiembre-2023,884.4,100000.0,7870.35,0.72
Octubre-2023,926.35,162500.0,7114.43,0.61
Noviembre-2023,886.61,112500.0,6678.66,0.6
Diciembre-2023,874.67,87500.0,8176.8,0.75
Enero-2024,907.99,137500.0,4997.52,0.44
Febrero-2024,963.44,200000.0,6900.34,0.58
Marzo-2024,967.93,212500.0,5235.97,0.43
Abril-2024,960.14,200000.0,2790.66,0.23
Mayo-2024,917.88,150000.0,5162.82,0.45
Junio-2024,926.08,162500.0,7454.69,0.64
Julio-2024,937.56,175000.0,5619.13,0.48
Agosto-2024,929.9,162500.0,2658.96,0.23
Septiembre-2024,926.21,162500.0,7290.83,0.63
Octubre-2024,933.81,162500.0,7277.02,0.63
Noviembre-2024,971.6,212500.0,4639.64,0.38
Diciembre-2024,982.3,225000.0,5538.45,0.45
Enero-2025,1000.76,250000.0,3673.95,0.29
Febrero-2025,956.62,200000.0,6855.62,0.57
Marzo-2025,932.55,162500.0,5712.73,0.49
Abril-2025,961.96,200000.0,5060.7,0.42
Mayo-2025,941.01,175000.0,3822.34,0.33
Junio-2025,938.04,175000.0,5016.31,0.43
Julio-2025,951.55,187500.0,4522.79,0.38
Agosto-2025,966.3,212500.0,7285.65,0.6
Septiembre-2025,960.37,200000.0,3078.01,0.26
Octubre-2025,953.97,187500.0,7530.29,0.63
Noviembre-2025,935.7,175000.0,7960.9,0.68
Diciembre-2025,916.16,150000.0,7326.82,0.64

" A5: comprar en el minimo, vender en el maximo del periodo "
mes_compra,mes_venta,rentabilidad_pct,error_pct,conclusion_solida
Febrero-2023,Enero-2025,25.0,0.37,True

 A3: cancelacion diciembre 2022 vs diciembre 2023 (3 cifras) 
delta_p,error_absoluto,error_relativo_pct,afirmacion_segura
-1.0,0.67,67.0,True

 A4: variacion enero-diciembre por año (mas confiable primero) 
año,variacion_clp,error_absoluto,error_relativo_pct
2025,-80.0,4.6,5.75
2024,70.0,4.31,6.16
2022,60.0,6.39,10.65
2023,40.0,8.33,20.82

 B1: cifras significativas (1000.76 a 3 cifras) 
valor_real,valor_aprox_3cifras,error_absoluto,error_relativo_pct
1000.76,1000.0,0.76,0.0759

 B4: cancelacion en maquina (874.67 - 875.66) 
tipo,resultado,cifras_validas
valor_exacto,-0.9900000000000091,Todas
float64,-0.9900000000000091,~15 cifras
float32,-0.9899902344,~5 cifras

